Accel_x,Accel_y,Accel_z
1.072,-1.525,2.114
0.891,-1.214,2.268
0.822,-0.983,2.578
0.605,-0.885,2.745
0.285,-0.671,2.874
-0.141,-0.717,2.975
-0.325,-1.076,2.743
-0.603,-1.2,2.467
-0.815,-1.526,2.323
-0.867,-1.643,1.852
-0.97,-1.594,1.562
-0.962,-1.354,0.929
-0.864,-1.036,0.534
-0.585,-0.886,0.382
-0.283,-0.679,0.139
-0.169,-0.493,-0.043
0.067,-0.392,-0.227
0.274,-0.283,-0.186
0.391,-0.171,-0.187
0.558,-0.123,-0.164
0.678,-0.049,-0.142
0.747,0.026,-0.072
0.856,0.048,0.014
0.921,0.053,0.07
0.939,0.063,0.141
0.955,0.042,0.159
0.938,-0.039,0.185
0.937,-0.106,0.22
0.887,-0.129,0.219
0.809,-0.127,0.216
0.787,-0.128,0.22
0.748,-0.125,0.211
0.716,-0.149,0.212
0.696,-0.208,0.236
0.659,-0.251,0.293
0.619,-0.341,0.333
0.601,-0.42,0.415
0.576,-0.454,0.508
0.546,-0.488,0.565
0.49,-0.509,0.648
0.494,-0.532,0.669
0.537,-0.573,0.678
0.612,-0.619,0.732
0.634,-0.601,0.75
0.652,-0.592,0.765
0.681,-0.587,0.755
0.717,-0.601,0.764
0.72,-0.596,0.726
0.741,-0.598,0.731
0.737,-0.593,0.724
0.734,-0.594,0.715
0.727,-0.577,0.712
0.714,-0.579,0.715
0.707,-0.594,0.7
0.696,-0.599,0.681
0.694,-0.608,0.669
0.665,-0.615,0.649
0.643,-0.612,0.613
0.659,-0.618,0.613
0.663,-0.607,0.63
0.662,-0.583,0.663
0.677,-0.609,0.697
0.683,-0.691,0.703
0.663,-0.727,0.705
0.613,-0.776,0.724
0.562,-0.798,0.773
0.538,-0.798,0.817
0.505,-0.776,0.835
0.492,-0.755,0.867
0.494,-0.708,0.877
0.426,-0.671,0.893
0.392,-0.613,0.893
0.385,-0.552,0.883
0.373,-0.524,0.871
0.376,-0.48,0.862
0.378,-0.449,0.832
0.388,-0.437,0.811
0.401,-0.418,0.801
0.413,-0.399,0.781
0.418,-0.361,0.779
0.425,-0.337,0.791
0.424,-0.288,0.796
0.418,-0.226,0.811
0.399,-0.194,0.82
0.383,-0.135,0.837
0.377,-0.078,0.861
0.359,-0.055,0.896
0.333,0.002,0.915
0.324,0.007,0.908
0.269,0.061,0.872
0.245,0.133,0.812
0.274,0.136,0.895
0.283,0.136,0.912
0.272,0.133,0.901
0.251,0.137,0.869
0.209,0.147,0.824
0.213,0.171,0.808
0.229,0.192,0.828
0.271,0.183,0.841
0.29,0.171,0.838
0.322,0.17,0.836
0.331,0.16,0.869
0.339,0.209,0.92
0.23,0.549,0.936
0.241,0.529,0.851
0.362,0.299,0.832
0.375,0.3,0.849
0.355,0.395,0.864
0.31,0.491,0.857
0.299,0.506,0.851
0.303,0.488,0.855
0.896,-1.016,0.499
0.892,-1.311,0.197
0.982,-1.758,0.325
0.563,-1.033,0.322
0.794,-1.412,0.715
1.043,-1.771,0.869
0.995,-1.737,0.694
0.955,-1.718,0.6
0.942,-1.619,0.692
0.994,-1.574,0.909
0.999,-1.5,1.086
0.892,-1.349,1.24
0.825,-1.175,1.501
0.572,-0.959,1.551
0.386,-0.92,1.559
0.39,-0.887,1.61
0.391,-0.873,1.694
0.327,-0.857,1.852
0.193,-0.842,1.709
0.065,-0.833,1.595
-0.161,-0.85,1.473
-0.257,-0.867,1.533
-0.401,-0.858,1.477
-0.454,-0.85,1.276
-0.501,-0.866,1.113
-0.439,-0.927,1.036
-0.387,-0.874,0.924
-0.335,-0.837,0.832
-0.277,-0.8,0.775
-0.226,-0.758,0.68
-0.116,-0.711,0.642
0.044,-0.651,0.651
0.158,-0.64,0.614
0.215,-0.61,0.56
0.328,-0.596,0.537
0.443,-0.578,0.492
0.495,-0.563,0.454
0.598,-0.526,0.434
0.678,-0.468,0.409
0.704,-0.424,0.392
0.731,-0.403,0.392
0.706,-0.374,0.426
0.701,-0.439,0.403
0.735,-0.484,0.387
0.734,-0.523,0.392
0.724,-0.576,0.438
0.683,-0.603,0.478
0.637,-0.685,0.508
0.609,-0.736,0.534
0.566,-0.77,0.584
0.527,-0.834,0.596
0.503,-0.871,0.592
0.474,-0.886,0.605
0.457,-0.897,0.615
0.466,-0.866,0.656
0.478,-0.815,0.739
0.491,-0.817,0.749
0.492,-0.841,0.716
0.511,-0.836,0.739
0.534,-0.832,0.749
0.538,-0.828,0.758
0.544,-0.82,0.769
0.554,-0.794,0.788
0.555,-0.77,0.821
0.549,-0.728,0.805
0.541,-0.706,0.796
0.561,-0.676,0.803
0.57,-0.652,0.815
0.574,-0.63,0.799
0.559,-0.577,0.792
0.551,-0.511,0.782
0.529,-0.477,0.769
0.5,-0.405,0.767
0.488,-0.349,0.764
0.462,-0.326,0.736
0.431,-0.301,0.724
0.425,-0.299,0.724
0.415,-0.3,0.712
0.403,-0.31,0.706
0.398,-0.309,0.714
0.395,-0.3,0.742
0.392,-0.292,0.772
0.386,-0.28,0.783
0.385,-0.257,0.824
0.386,-0.136,0.832
