Accel_x,Accel_y,Accel_z
0.011,-0.216,1.081
0.012,-0.237,1.099
-0.003,-0.232,1.093
-0.014,-0.254,1.087
-0.031,-0.254,1.08
0.002,-0.233,1.079
-0.004,-0.225,1.086
-0.009,-0.192,1.079
-0.022,-0.186,1.022
-0.124,-0.163,0.968
-0.103,-0.116,0.992
-0.124,-0.123,0.978
-0.106,-0.147,0.976
-0.113,-0.173,0.955
-0.115,-0.184,0.947
-0.109,-0.182,0.956
-0.097,-0.142,0.971
-0.069,-0.09,0.992
0.001,-0.042,1.084
0.124,0.007,1.142
0.15,0.095,1.13
0.18,0.136,1.135
0.178,0.134,1.105
0.136,0.161,1.079
0.109,0.157,0.968
0.002,0.165,0.851
-0.029,0.214,0.872
0.422,0.81,0.78
0.377,0.856,0.758
0.351,0.843,0.675
0.31,0.82,0.617
0.296,0.765,0.592
0.296,0.726,0.566
0.265,0.707,0.554
0.279,0.667,0.559
0.301,0.652,0.579
0.33,0.637,0.529
0.277,0.601,0.513
0.284,0.608,0.537
0.323,0.61,0.521
0.302,0.578,0.399
0.352,0.571,0.361
0.453,0.639,0.358
0.376,0.782,0.343
0.351,0.857,0.333
0.323,0.934,0.254
0.356,0.946,0.206
0.333,0.884,0.057
0.195,0.857,0.025
0.32,0.821,0.084
0.373,0.791,0.122
0.386,0.708,0.135
0.418,0.637,0.187
0.479,0.609,0.242
0.544,0.57,0.24
0.595,0.549,0.218
0.6,0.555,0.165
0.526,0.613,0.139
0.515,0.691,0.062
0.574,0.659,-0.1
0.523,0.858,0.01
0.503,0.919,0.022
0.526,0.87,-0.072
0.546,0.784,-0.11
0.467,0.741,-0.153
0.519,0.658,-0.084
0.586,0.629,-0.085
0.555,0.573,-0.098
0.557,0.572,-0.123
0.563,0.591,-0.144
0.596,0.628,-0.184
0.606,0.644,-0.219
0.622,0.642,-0.229
0.603,0.685,-0.268
0.597,0.671,-0.285
0.592,0.61,-0.309
0.626,0.527,-0.41
0.594,0.596,-0.315
0.57,0.594,-0.321
0.595,0.56,-0.372
0.581,0.506,-0.348
0.582,0.446,-0.387
0.597,0.438,-0.387
0.647,0.418,-0.416
0.665,0.408,-0.44
0.682,0.41,-0.413
0.674,0.405,-0.406
0.677,0.408,-0.421
0.698,0.456,-0.445
0.697,0.445,-0.468
0.711,0.425,-0.457
0.736,0.386,-0.452
0.736,0.386,-0.471
0.737,0.394,-0.502
0.765,0.382,-0.513
0.773,0.363,-0.53
0.787,0.366,-0.541
0.814,0.37,-0.543
0.835,0.364,-0.556
0.848,0.364,-0.573
0.865,0.353,-0.583
0.882,0.345,-0.597
0.885,0.311,-0.603
0.882,0.295,-0.589
0.907,0.264,-0.576
0.933,0.253,-0.552
0.933,0.257,-0.549
0.923,0.25,-0.537
0.938,0.24,-0.533
0.938,0.242,-0.534
0.937,0.244,-0.536
0.931,0.241,-0.538
0.926,0.235,-0.529
0.921,0.226,-0.51
0.912,0.211,-0.506
0.91,0.203,-0.508
0.908,0.205,-0.503
0.903,0.209,-0.499
0.9,0.202,-0.485
0.892,0.196,-0.462
0.891,0.181,-0.446
0.893,0.176,-0.432
0.899,0.183,-0.44
0.9,0.204,-0.445
0.887,0.213,-0.464
0.884,0.215,-0.474
0.884,0.207,-0.474
0.882,0.198,-0.479
0.883,0.189,-0.472
0.882,0.186,-0.463
0.881,0.183,-0.454
0.874,0.181,-0.439
0.872,0.174,-0.427
0.874,0.165,-0.417
0.87,0.166,-0.417
0.868,0.173,-0.424
0.864,0.181,-0.431
0.861,0.196,-0.439
0.862,0.198,-0.447
0.864,0.196,-0.45
0.865,0.189,-0.451
0.864,0.179,-0.46
0.868,0.181,-0.469
0.875,0.191,-0.475
0.876,0.192,-0.487
0.878,0.189,-0.488
0.538,0.065,1.493
0.356,0.106,1.347
0.298,0.053,1.148
0.244,0.017,1.067
0.358,0.001,1.031
0.333,0.027,1.047
0.422,0.052,1.061
0.449,0.061,1.037
0.427,0.063,1.034
0.352,0.059,1.043
0.383,0.028,1.04
0.268,-0.02,0.885
0.133,-0.13,0.938
0.069,-0.272,0.795
-0.043,-0.282,0.782
-0.081,-0.267,0.786
-0.078,-0.234,0.766
-0.062,-0.258,0.788
-0.027,-0.252,0.824
0.046,-0.212,0.909
0.084,-0.185,0.994
0.148,-0.172,1.039
0.16,-0.145,1.045
0.153,-0.108,1.031
0.142,-0.095,0.994
0.125,-0.09,0.979
0.116,-0.102,0.958
0.127,-0.115,0.961
0.133,-0.125,0.976
0.15,-0.122,0.979
0.156,-0.106,0.982
0.161,-0.093,0.979
0.164,-0.069,0.976
0.17,-0.058,0.978
0.178,-0.061,0.984
0.178,-0.076,0.992
0.177,-0.098,0.997
0.169,-0.105,0.995
0.159,-0.113,0.992
0.156,-0.115,0.983
0.15,-0.115,0.976
0.15,-0.111,0.973
0.156,-0.097,0.975
0.161,-0.084,0.981
0.165,-0.081,0.991
0.166,-0.084,0.993
0.166,-0.093,0.996
0.162,-0.096,0.994
0.162,-0.098,0.988
0.159,-0.103,0.988
0.158,-0.1,0.988
0.158,-0.101,0.992
0.155,-0.105,0.995
0.155,-0.104,1.002
0.152,-0.105,1.003
0.149,-0.106,1.007
0.146,-0.107,1.018
0.144,-0.115,1.021
0.144,-0.122,1.029
0.144,-0.122,1.043
0.151,-0.121,1.052
0.158,-0.113,1.065
0.163,-0.107,1.071
0.166,-0.108,1.071
0.159,-0.112,1.07
0.158,-0.108,1.071
0.158,-0.103,1.073
0.158,-0.089,1.072
0.158,-0.077,1.065
0.153,-0.072,1.068
0.15,-0.063,1.069
0.152,-0.06,1.065
0.158,-0.055,1.071
0.167,-0.041,1.076
0.171,-0.032,1.07
0.172,-0.016,1.064
0.168,-0.007,1.067
0.171,0.01,1.064
0.167,0.031,1.057
0.17,0.04,1.057
0.172,0.054,1.055
0.171,0.059,1.051
0.166,0.065,1.051
0.166,0.063,1.052
0.17,0.064,1.053
0.173,0.066,1.056
0.178,0.069,1.048
0.18,0.075,1.047
0.176,0.079,1.044
0.174,0.084,1.043
0.177,0.087,1.042
0.173,0.089,1.038
0.179,0.094,1.042
0.188,0.099,1.028
0.191,0.104,1.025
0.193,0.112,1.019
0.204,0.136,1.023
0.217,0.143,1.028
0.22,0.156,1.028
0.222,0.169,1.025
0.218,0.174,1.025
0.234,0.169,1.022
0.233,0.168,1.013
0.239,0.168,1.004
0.249,0.175,1.002
0.258,0.183,0.999
0.266,0.189,0.994
0.263,0.203,0.988
0.26,0.214,0.984
0.242,0.221,0.981
0.25,0.227,0.979
0.256,0.231,0.972
0.264,0.231,0.963
0.283,0.229,0.961
0.281,0.241,0.951
0.299,0.244,0.965
0.302,0.281,0.957
0.267,0.285,0.947
0.249,0.261,0.955
0.442,0.36,1.366
0.508,0.371,1.334
0.439,0.356,1.247
0.266,0.349,1.25
0.254,0.33,1.23
0.297,0.314,1.181
0.287,0.295,1.173
0.315,0.297,1.169
0.365,0.293,1.161
0.371,0.274,1.145
0.367,0.256,1.114
0.329,0.256,1.082
0.259,0.251,1.061
0.219,0.245,1.009
0.127,0.207,0.978
0.111,0.161,0.925
0.079,0.127,0.886
0.053,0.08,0.88
0.053,0.072,0.886
0.073,0.066,0.882
0.058,0.069,0.895
0.072,0.078,0.904
0.089,0.084,0.911
0.12,0.1,0.916
0.133,0.109,0.926
0.132,0.112,0.93
0.157,0.112,0.935
0.182,0.105,0.936
0.189,0.093,0.942
0.189,0.085,0.933
0.173,0.075,0.919
0.164,0.072,0.914
0.16,0.077,0.897
0.143,0.079,0.881
0.14,0.084,0.878
0.142,0.082,0.882
0.16,0.081,0.892
0.175,0.078,0.916
0.172,0.05,0.935
0.171,0.027,0.957
0.186,-0.008,0.974
0.2,-0.043,0.996
0.177,-0.073,1.004
0.19,-0.119,1.033
0.198,-0.146,1.145
0.268,-0.28,1.25
0.333,-0.263,1.394
0.342,-0.183,1.356
0.302,-0.144,1.207
0.219,-0.086,1.122
0.182,-0.071,0.991
0.142,-0.071,0.918
